Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0001768,"Mouser Electronics, Inc.",,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001783,JAKA SOJČ S.P.,,,,,B2C,0001053|,0,0,800,1,1500,2,3000,3,0,,
0001784,SORTIMO SLAVKO ROJEC S.P.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001786,MAKE TRADE D.O.O. Sedež,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001787,MAKE TRADE D.O.O. Dostava,,,,,B2C,0000717|,0,0,800,1,1500,2,3000,3,0,,
0001792,CEROVSKI D.O.O.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001793,ZAK d.o.o.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001807,TRINI PLUS D.O.O.,,,,,B2B,0000720|,0,0,800,1,1500,2,3000,3,0,,
0001816,KIT ŽIŽKI d.o.o.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001819,AG-MONT d.o.o,,,,,B2C,0001145|,0,0,800,1,1500,2,3000,3,0,,
0001821,EPRIM d.o.o.,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
